File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
183,3873.1654116080213,3279.200559472725
184,3907.6914596349025,3321.176383698279
185,4000.2351133551624,3329.645594657547
186,3896.1344722869644,3277.3158855451684
187,3912.3232004080505,3274.409591803282
188,3775.0256298452155,2895.0765509723255
189,3792.7769427248986,2842.6318107839547
190,3717.246173366703,2780.669597707615
191,3937.257808347096,3304.1228653996814
192,3767.147519787218,3630.7963909572477
193,3658.7574175707705,2976.64351282305
194,4062.7777117145997,3245.0065189665015
195,4265.958002116906,3681.0457829652737
196,3966.2724247825845,3269.311675052835
197,3896.5398157265704,3245.357380882477
198,3577.6132984414007,3046.4068837242994
199,3878.970050800833,3311.894213754596
200,3837.875030334487,3243.666657599353
201,3939.2832602455314,3283.0133331169586
202,3854.3971918291722,3132.355611321209
203,3682.316890729779,2783.2923709101524
204,3899.3863435989515,3222.6532856728327
205,4075.755988849914,3444.5425959582376
206,4027.081633270569,3404.275054175605
207,3842.3021374846903,3239.0426256482897
208,3887.2486362714153,3493.2091420371025
209,-0.0,-0.0
210,-0.0,-0.0
211,3922.591869136554,3109.793232846223
212,3429.6113484181137,2889.8776629851272
213,3633.243746797789,2839.410344857834
214,3841.419020813744,2973.2852036215018
215,4082.522990836485,3220.3977934007467
216,4285.687991468094,3378.3761324442926
217,4289.876965743368,3380.5600819989086
218,4060.707938810653,3194.9302613230075
219,4242.742375917577,3333.605129919625
220,4246.698741114113,3338.9608094377422
221,3980.7446010940266,3173.456193677271
222,3823.2671345591857,2743.8695159376825
223,3934.9370182331572,2938.8378438734326
224,3722.205195146259,2365.434870662295
225,3951.9195380313586,3078.2197451299435
226,3938.840692388344,3089.782571917625
